"IDكود العميل","اسم العميل","رقم الشاسية","نوع الالة","اسم المهندس","نوع العقد","عداد تسليم اسود","عداد تسليم الوان","تاريخ انتهاء العقد","العنوان","التليفون","ملاحظات","Field1"
"841","مكتبة امون (العجمى)","T424M130052","SP 8300","ايمن","زيارة","","","2/27/2024 12:00:00 AM","العجمى / البيطاش","1116705967","ح / احمد طلعت",""
"2015","شركة احد ( الجنداش )","T424MC30046","SP8300","يحيي","زيارة","","","","خورشيد","01285919575","الجنداش",""
"963","مدرسة البيضة المزدوجة","T574HB00913","SP4510","اسامة","زيارة","","","","البيضة -- طريق كفر الدوار","1225944898","ا / احمد عبد اللطيف",""
"1109","معمل نبضه","T574HC02263","SP4510","كريم","زيارة","","","","","","",""
"384","شركة الوطنية للادوية","T576H303824","SP 4510","طارق","زيارة","79108","","1/2/2023 12:00:00 AM","","","",""
"773","مكتب طايل المحامى","T576H401360","SP4510","","زيارة","","","","العصافرة","","",""
"834","الاكاديمية ( ا / اشرف)","T576H603170","SP 4510","مجدى","زيارة","","","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"7","سنتر القيصر","T576H701670","SP4510","","زيارة","","","","","","",""
"540","نادى الجياد (شئون قانونية)","T576H802798 ش","Sp4510","","ارشيف","","","","سموحة","1277088341","",""
"837","الاكاديمية","T576H902225","SP 4510","مجدى","صيانة","","","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"1735","مكتب ديكور ميكاندا","T578H203817","SP4510","مجدى","زيارة","17848","47149","","ش الظاهر محرم بيك","1289897393","033959500 مينا سامى",""
"583","الاكاديمية رعاية الشباب","T578H706278","SP4510","مجدى","صيانة","31056","","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"1046","سى لايف للفلاتر","T578H806933","SP4510","اسامة","زيارة","266745","","","","","",""
"1453","مدرسة الشهيد وليد صبحى","T596H100088","SP4510","يحيي","زيارة","","","","","","",""
"1858","قرية الصفا","T596H100099","SP4510","كريم","زيارة","","","","الكيلو 44","01225577837","ا / متولى عطية",""
"207","شركة اسكندرية أوتوموتور","T596H100129","SP4510","يحيي","زيارة","","","","سان استيفانوا","","",""
"1121","شركة انابيب البترول","T596HB00220 ش","SP4510SF","","ارشيف","12682","","6/30/2026 12:00:00 AM","مرغم","","",""
"1552","شركة انابيب البترول","T596HB00479 ش","SP4510SF","","ارشيف","25001","","6/30/2026 12:00:00 AM","مرغم","","",""
"1201","ا/عبادى سعيد المحامى","T596HB00808","SP4510","رضا","زيارة","","","7/5/2025 12:00:00 AM","حجر النواتيه3 اشهر 5000 نسخه","1284410101","",""
"650","ا / يسرا (ام يوسف)","T597H302855","SP4510","يحيي","زيارة","88887","","","بجوار منزل تمام","1550244445","تم دفع 1000 جنية من ثمن الالة وباقى 3000 جنية",""
"1376","مدرسة المحور8","T597H303127","SP4510","كريم","زيارة","183709","","8/12/2024 12:00:00 AM","حجر النوتية -- الضمان (5000) نسخة","1117133167","ا/ احمد الجرحي",""
"1490","ميناء الأسكندرية","T597H401667","SP4510","رضا","زيارة","111801","","9/18/2025 12:00:00 AM","داخل ميناء إسكندرية ضمان 3 أشهر5000 نسخة","","أ/ يحيى حسنى",""
"919","احمد شوقى","T597HB00621","SP4510","","زيارة","53600","","","","","",""
"665","مستشفى جمال حمادة (مكتب المديرة)","T597HC00667","MP4510","ياسين","ارشيف","72587","","","كرموز --  ( مكتب سكرتارية المدير)","1202050234","ا / وائل  الشوادفى ( مكتب سكرتارية المدير)",""
"1967","شركة اتركس للصناعات الدوائية","T605HC01849","SP401","شعبان","زيارة","105894","","2/27/2026 12:00:00 AM","سموحة ش / المرور عمارات جرين طورز--الضمان(1000)نسخة","01287874771","سلطان",""
"1081","اسلام طارق","T606H102274","SP4510","رضا","زيارة","76495","","4/28/2025 12:00:00 AM","امنطقه الحرة ضمان 3 اشهر 5000 نسخه","1010132886","اسلام العامريه",""
"1765","مدرسة عقبة بن نافع","T615HC00315","MP3600","كريم","زيارة","13236","","","طوسون","1227151941","الالة مباعة جملة",""
"1791","ا / احمد مدحت","T625H100148","MP3600","يحيي","زيارة","","","","","1141333335","",""
"1454","احمد عبد الرحيم","T626H100314","SP3610","يحيي","زيارة","","","","","1050003479","",""
"1541","شركة المدينة المنورة","T635H201236","SP3600","مجدى","زيارة","","","","","","",""
"873","الاكاديمية مكتب الشئون العاملين","T637H301969","SP 3600","مجدى","صيانة","882","","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"65","ا / دعاء كرموز","T637H302212","SP3600","السيد","زيارة","","","","شارع النيل / كرموز","1205004490","",""
"210","شركة الشوري","V0314100003","MPC3001","طارق","زيارة","","","12/31/2022 12:00:00 AM","برج العرب","1143909550","",""
"455","مدرسة الرحمن (الخاصة)","V0880400000","pro 906","رحيم","زيارة","","","","سيدى بشر قبلى","1150180350","",""
"1601","مبرة البكاتوشى","V105Z13675","FS4300","كريم","زيارة","30411","","","حجر النواتية","1061800956","أستبدال ودفع 2250",""
"438","مكتبة الحمد ( احمد سيف)","V1302900629","MPC4000","شعبان","زيارة","116887","260772","","ارض المفتى","1208834008","",""
"801","الشركة المتحدة للاسكان والتعمير","V1403700974","MPC 2800","مجدى","زيارة","","","","المنشية","1001994190","01550441983",""
"687","هانى ارك جروب","V1403800506","MPC 2800","مجدى","زيارة","","","","باكوس","1223630189","",""
"615","شركة الفريدة","V1403900164","MPC2800","شعبان","زيارة","","","10/6/2025 12:00:00 AM","سيدى بشر بجوار جزارة الثورة","1155561109","تبع م / رضا القدس",""
"66","الاكاديمية (الكنترول الرئيسي)","V1404000378","mpc2800","مجدى","صيانة","","","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"819","شركة راغبكو","V1404002443","MPC 2800","شعبان","زيارة","","","","","","",""
"262","ماريا مدحت","V1404100589","mpc2800","","زيارة","416444","35100","8/21/2022 12:00:00 AM","ش/العلافين","1276972560","01274130143",""
"175","جيفت اند مور","V1404100821","Mpc2800","مجدى","زيارة","","","8/19/2022 12:00:00 AM","سموحة  ش / النصر","1001005111","",""
"412","محمد ارك جروب","V1404102373","MPC 2800","مجدى","زيارة","","","","جليم ش / الازاعة","1223630185","",""
"766","محمد ارك جروب","V1404202619","MPC 2800","مجدى","زيارة","960849","350777","3/8/2024 12:00:00 AM","جليم ش / الازاعة -- الضمان (10000) نسخة","1223630185","03 / 5826822",""
"630","محمد ارك جروب","V1404401434","MPC2800","مجدى","زيارة","455488","207209","12/15/2023 12:00:00 AM","جليم ش / الازاعة -- الضمان (10000) نسخة","1223630185","",""
"348","شركة ناتورا","V1404401738","MPC2800","طارق","زيارة","","","","طريق العامرية امام الامن المركزي","1014010960","اللواء ياسر(01066810667)",""
"445","مركز الفتح  صبري","V1404503400","MPC2800","يوسف","زيارة","736880","425318","","","1554977755","01026824821",""
"397","هانى ارك جروب","V1404600129","MPC 2800","مجدى","زيارة","","","","باكوس","1223630189","",""
"82","الحصرى","V1404604979","Mpc2800","شعبان","زيارة","","","10/23/2022 12:00:00 AM","ابو سليمان","1202738364","",""
"231","مكتبة العمدة ابو سليمان","V1409533107","mpc2800","شعبان","زيارة","261860","76342","1/2/2023 12:00:00 AM","ابو سليمان","1285580314","",""
"232","مجزر جالى","V1484701829","MP2800","","زيارة","","","","ابيس 2 الحسينية","","",""
"894","مدرسة الشهيد احمد عباس","V1484703727","MPC2800","شعبان","زيارة","","","","لوران","1272732225","ا / امل سمير",""
"361","سنتر برلانت","V1484801102","MPC 2800","طارق","زيارة","","","5/5/2024 12:00:00 AM"," بجوار معهد محمد حسن","1287740390","",""
"813","مصطفى دربالة ( المهندس)","V1493700845 ش","MPC2800","","ارشيف","","","","سيدى بشر / دربالة","1229292048","",""
"752","مكتبة الازاعة","V1493900669","MPC2800","رضا","ايجار","112867","190327","","باكوس / شارع الازاعة","1275720797","ا / وليد",""
"647","المنشاوى الكينج","V1493901616","MPC2800","طارق","زيارة","220218","108649","3/1/2024 12:00:00 AM","الكينج","1221266804","الالة مباعة بالقسط يحصل 1000 جنية كل اول شهر على 8 شهور",""
"1441","مكتبة العربى","V1494200977 ش","MPC3300","","ارشيف","","","","","1006584568","",""
"236","سنتر ابو حبيبة","V1494200985 ش","Mpc 2800","","ارشيف","","","12/31/2026 12:00:00 AM","ش النصر سموحة","1112759690","",""
"415","محمد ارك جروب","V1494201232","MPC 2800","يوسف","زيارة","","","","جليم ش / الازاعة","1223630185","",""
"631","مكتبة المصطفى","V1494400803","MPC2800","رحيم","زيارة","","","","كوبرى الناموس بجوار برلانت","1226598114","",""
"1095","مطبعة الولاء","V1494400939","MPC2800","مجدى","زيارة","95642","151076","","الحضرة / بجوار قهوة حسان","1111190791","01221855250",""
"237","اليكس مارين كريم الشيخ","V1494500080 ش","mpc2800","","ارشيف","","","8/12/2026 12:00:00 AM","ش / النصر المنشية","1004008793","03/4869684",""
"239","براديس مارين","V1494600489","mpc3300","مجدى","صيانة","","","5/26/2027 12:00:00 AM","ابيس","1115554218","",""
"241","حضانة جانجل كيدز","V1503800392","mpc3300","طارق","زيارة","","","","الفلكى","","",""
"243","شركة الطراوي","V1503800749","mpc3300","مجدى","زيارة","","","5/17/2024 12:00:00 AM","سموحة / بجوار نادى النصر","1287973631","03/4205771----03 /4205772",""
"1559","علاء مطبعة الاخوة","V1504400438 ش","MP3300","","ارشيف","","","","بجوار الشركة","1223018902","",""
"1895","مكتبة البراء","V1594101159 ش","MPC3300","","ارشيف","","","","المنشية وكالة الليمون","01277225045","دعاء حمادة",""
"2083","مكتبة السعد","V1594101159 شش","MPC3300","","","327217","216614","","حجر النواتية","1273241020","",""
"","مدرسة حسين كامل بهاء الدين","V1P5915196","P-4030DN","","زيارة","39049","","","كوبرى الناموس","01223047801","ا / ندى الفقى",""
"2178","شركة فلوكيجر","V1U5Z13683","KY4300DN","مجدى","صيانة","","","4/1/2027 12:00:00 AM","بعد الموقف الجديد","1154042556","01278642080 -ا/ محمد الدسوقي",""
"2133","شركة فلوكيجر","V1U6315815","KY4300DN","مجدى","ضمان","","","4/1/2027 12:00:00 AM","بعد الموقف الجديد","1154042556","01278642080 -ا/ محمد الدسوقي",""
"1404","عم صلاح","V2203700200","MPC2050","يحيي","زيارة","491975","135607","","مطروح","","",""
"806","مكتبة الاهرام ( انجى)","V2203700216","MPC2050","شعبان","زيارة","","","","ارض محمد اسماعيل","1274649613","",""
"248","شركة مياه الشرب 6 اكتوبر","V2203704709","mbc2050","ايمن","زيارة","","","11/22/2023 12:00:00 AM","العجمى 6 اكتوبر","","",""
"1372","مكتبة مصطقى","V2203802580","MPC2050","شعبان","زيارة","37060","199201","10/25/2025 12:00:00 AM","بجوار الشركة","1224236042","",""
"889","مكتبة عباد الرحمن","V2203902602","MPC2050","طارق","زيارة","","","","البكاتوشي","1026139021","ا / سارة",""
"699","المكتب الاستشارى FbS(هيبة)","V2204003291","MPC2051","شعبان","زيارة","","","","سيدى بشر -- ش/ على هيبة","1096083024","ا/ محمد حامد",""
"784","ا / صلاح السوسانى","V2204102558","MPC2050","شعبان","زيارة","","","","الحضرة","1273223440","",""
"2121","المينا اكسترا","V2204200982","MPC2050","شعبان","زيارة","","","","فلمنج بجوار ازبيلا","01025975400","ا / عوض",""
"489","سنتر برافو","V2204204949","MPC 2050","رضا","زيارة","","","","جليم ش /الازاعة","1279696971","",""
"398","العامرية للغزل والنسيج","V2204302180","MPC2050","عادل","زيارة","208250","68773","","النهضة / العامرية -- سكرتارية المدير","","",""
"1219","مكتبة فنون","V2204302669","MP2050","مجدى","زيارة","","","","","1142870802","",""
"1655","تيكان للانشاءات","V2204601720","MPC2050","مجدى","صيانة","","","8/12/2026 12:00:00 AM","دلتا لايف -- سموحة","1141144488","على محمد",""
"759","مركز البركة","V2204603721","MPC 2050","شعبان","زيارة","","","","العوايد  ش / ال 500 الرئيسى","1003100176","ا / جهاد (01021629086)",""
"799","الشركة الدولية ( البنجر)","V2204603726","MPC 2050","رضا","زيارة","359050","57842","3/25/2024 12:00:00 AM","بنجر السكر القديم 2","1110370285","ا / محمد حافظ",""
"1222","ايليت الطبية","V2204604322","MPC2050","شعبان","زيارة","","","","الطريق الدائرى قبل كارفور","01146766691","احمد عزت",""
"1345","احمد تربية نوعية","V2204700516","MPC2050","شعبان","زيارة","","","","بجوار كليية التربية النوعية","1280606089","",""
"878","مدرسة براعم الكمال","V2204702116 ش","MPC2050","","ارشيف","","","","عزبة محسن","1224000862","ا / هشام",""
"1476","ميروزا للأستثمار العقارى","V2204702977","MPC 2050","مجدى","زيارة","257559","80797","","ميدان فيكتورعمانويل عمارة كنتاكي الدور الرابع","1281694501","",""
"1896","عميل ابيس مشروع ناصر","V2204704120","MPC2050","شعبان","زيارة","","","","مشروع ناصر","","",""
"344","مدرسة المكس (ميس نانة)","V2284600654","MPC2050","ايمن","زيارة","","","","المكس","","",""
"1365","استوديو فلاش","V2294102133","MPC 2050","اسامة","زيارة","","","","شارع فؤاد","","",""
"701","جمعية الخضار والفاكهة","V2294203432","MPC2051","رضا","زيارة","34218","65145","2/9/2024 12:00:00 AM","باكوس / الوكالة  -- الضمان (10000) نسخة","1002800556","الجمعية التعاونية الزراعية لتسويق الخضار والفاكهة بالاسكندرية",""
"253","شركة مياه الابراهيمية","V2294501177","MPc2050","شعبان","زيارة","","","11/22/2024 12:00:00 AM","تم نقل الالة فرع ( كوم الدكة )","","تم نقل الالة من فرع الابراهيمية الي الفرع الرئيسي كوم الدكة",""
"256","شركة مياه الشرب المندرة","V2294501322","MPc2050","شعبان","صيانة","","","11/22/2026 12:00:00 AM","المندرة","1066363586","ا/ عبد المنعم",""
"257","شركة مياه الشرب (الجهاز المركزى)","V2294503125","mbc2050","ايمن","زيارة","","","11/22/2023 12:00:00 AM","شارع فؤاد","","",""
"258","شركة مياه الشرب محرم بك","V2294602212","mpc2050","رضا","زيارة","","","11/22/2024 12:00:00 AM","تم نقل الاله كوم الدكه (الفرع الرئيسي)","1286293531","",""
"829","كلية اقتصاد ( المخزن )","V2294602470","MPC 2050","شعبان","زيارة","","","","الحضرة / عزبة سعد","","",""
"2012","شركة الخليج العربى","V2294803837","MPC2050","شعبان","زيارة","","","","الطريق الدائرى","01117789937","تبع رضا القدس",""
"2050","ام سجدة","V2403700100","MPC2050","رضا","زيارة","355502","161222","","بجوار الشركة","","",""
"1108","ايليت الطبية","V2403700100 ش","MPC2050","","ارشيف","","","","الطريق الدائرى قبل كارفور","01146766691","احمد عزت",""
"884","سنترال الملاح","V2403800124","MPC2050","طارق","زيارة","266662","86808","6/10/2024 12:00:00 AM","باب 10 الميناء --  الضمان(10000) نسخة","1283454751","ا / احمد محمد خميس",""
"1347","شركة سمارت لينك","V2404000262","MPC2050","ايمن","زيارة","","","","بجوار فندق امون","","تبع م / ايمن ابو زيد",""
"757","سيبر السلام (جانكليس)","V2404300223","MPC 2050","شعبان","زيارة","","","","جانكليس خلف سنترال الفتح","1559991826","",""
"1225","مكتبة شاكر","V2404400511 ش","MPC2050","","ارشيف","109041","62527","","بجوار الشركة","1275248552","",""
"259","مكتب ا/ حسن زهدي","V2404600206","mpc2550","ايمن","صيانة","","","1/1/2024 12:00:00 AM","","","",""
"260","مكتبة العمدة كوبرى الناموس","V2409487026","mpc2050","شعبان","زيارة","","","","كوبري الناموس شارع المواسير","1226414250","1285580314",""
"434","الواحة","V2484600348","MPC2050","","زيارة","155443","206993","1/2/2023 12:00:00 AM","كوبري الناموس بجوار نعيم اللبان","1208424240","الالة مباعة بدون ضمان",""
"432","مكتب ا/ محمد عبد الحليم","V2494700196","MPc2550","ايمن","صيانة","","","1/1/2024 12:00:00 AM","المنشية ش النصر","","",""
"551","شركة  A S K","V3Y4400939","KY4035","رضا","زيارة","","","","المنطقة الحرة","","تبع م/ رضا القدس",""
"1747","جولدين ستارز","V3Y7425307","KY4035I","مجدى","صيانة","","","8/31/2026 12:00:00 AM","عزبة سكينه خلف شركة الكهرباء العوايد","1066856507","ا/ محمد صبحي ابراهيم",""
"1705","جولدين ستارز HR","V3Z5Z03954","KY5035I","مجدى","صيانة","","","8/31/2026 12:00:00 AM","عزبة سكينه خلف شركة الكهرباء العوايد","1066856507","ا/ محمد صبحي ابراهيم",""
"32","T . M . I","V3Z6505828","Ky5035","رضا","زيارة","","","11/22/2023 12:00:00 AM","العامرية منطقة حرة","","",""
"460","مكتبة زهوة","V3Z6X07643","KY5035","رضا","زيارة","","","12/25/2023 12:00:00 AM","تعاونات سموحة - بجوار خير زمان","1229939977","مالتى",""
"63","مكتبة زهوة","V415X00471","KY6035","رضا","زيارة","","","12/25/2023 12:00:00 AM","تعاونات سموحة - بجوار خير زمان","1229939977","مالتى",""
"421","محمد صابر ( قسم الرمل)","V4209101578","MP 171","شعبان","زيارة","","","","البشبشا","1275429535","",""
"797","محمد صابر ( قسم الرمل)","V4228900093","MP 201","يحيي","زيارة","","","","البشبشا","1275429535","",""
"820","عيدة فاروق (ام فهد)","V4299400555","MP171","رضا","زيارة","101030","","4/11/2024 12:00:00 AM","المينا -- باب 22","1202004297","تحصيل اقساط الالة يوم 11 من كل شهر 500 جنية",""
"1447","ام السيد ( عبد القادر)","V4299500582","MP 171","السيد","زيارة","","","","مدخل عبد القادر-- العامرية","1225067227","",""
"","بيت الجملة (شبين الكوم) مخزن2","V4408703286","MP171","وائل","ايجار","210119","","","المنوفية -- شبين الكوم","1211667301","م / وائل المنوفية",""
"72","الاكاديمية مجلس الادارة","V4408906596 ش","MP 171","","ارشيف","","","8/31/2026 12:00:00 AM","المنتزة","1272796901","",""
"1388","بيت الجملة (شبين الكوم)","V4409004301 ش","MP161","","ارشيف","128336","","","المنوفية -- شبين الكوم ( الجديدة )","1211667301","م / وائل المنوفية",""
"618","مصنع التوحيد","V4409007305","MP161","مجدى","زيارة","","","","كفر الدوار","1279588593","01204344446",""
"926","ا / السيد احمد","V4409012315","MP161","يحيي","زيارة","","","","محرم بيك -- بالمنزل","1201331883","",""
"","بيت الجملة فرع العبور","V4409012411","MP201","وائل","ايجار","94733","","","العبور","","",""
"940","ترى فارما للادوية","V4409104845","MP171","مصطفى","زيارة","","","","ش ابو سليمان","1220202473","ا / احمد فتح الله",""
"1358","مستشفى اليكس ( المخازن )","V4409106232","MP 171","شعبان","زيارة","","","","","","",""
"740","نادى الاطباء","V4409111580","MP 171","شعبان","زيارة","","","","سبا باشا  - على البحر","1281445104","ا / محمد جابر",""
"571","ا / سومة","V4409206160","MP 171","شعبان","زيارة","","","","ونجت","1288611026","",""
"1904","مدرسة ارض العوايد","V4409208436","MP201","يحيي","زيارة","","","","","","",""
"507","نادى النصر(مكتب المدير)","V4409209095","MP161","رضا","زيارة","","","1/21/2024 12:00:00 AM","سموحة / بجوار مسجد قباء","1005236735","01200448301(عصام نور القمر)",""
"","بيت الجملة فرع محرم بك (المخازن)","V4409210304 ش","MP171","","ارشيف","69058","","","محرم بك","","",""
"1059","ا / هشام الصعيدى","V4409218387","MP 171","شعبان","زيارة","","","","الراس السوداء","1224327430","",""
"502","كلية اقتصاد (شئون عاملين)","V4409303070","MP161","شعبان","زيارة","","","","الحضرة / عزبة سعد","1278676725","ا/ احمد مرسي",""
"","بيت الجملة فرع مدينتي كرافيت زون","V4409304069","MP171","وائل","ايجار","178792","","","مدينتى","","",""
"272","مروة امين ( ام يحيي)","V4409304334","MP201","طارق","زيارة","","","7/3/2022 12:00:00 AM","باب 10 الميناء","1011652143","01222965573 -- 01559222895",""
"","بيت الجملة فرع سموحة (الدرك ستور) 1","V4409304334 ش","MP201","","ارشيف","222323","","","سموحة","","",""
"704","ا / محمد عزب","V4409307636","MP 161","شعبان","زيارة","","","","سيدي بشر ارض الفضالي","1284999570","",""
"887","اسلام صبحى","V4409308118","MP171","يحيي","زيارة","142806","","","","","",""
"1019","مصنع دروز","V4410061506","MP305","رضا","زيارة","144273","","","مصطفى","1288859333","",""
"1750","احمد فتحى المحامى","V4489601474","MP161","حسام","زيارة","","","","المنشية","1117713867","",""
"352","مركز الفريد","V4498500106","MP171","يوسف","زيارة","","","","ش/صلاح الدين كوبري الناموس","1273415452","",""
"916","مركز ابداع (باكوس)","V4498702079","MP171","وسام","زيارة","","","","باكوس","1282669713","",""
"211","شركة الطراوي","V4498702503","mp201","مجدى","زيارة","","","5/17/2024 12:00:00 AM","سموحة / بجوار نادى النصر","1287973631","03/4205771----03 /4205772",""
"2013","شركة الورق","V4498900301","MP201","شعبان","زيارة","","","","الطريق الدائرى","01283025277","هشام",""
"642","مستشفى جمال حمادة","V4499100226","MP 201","معتز","ارشيف","260320","","","كرموز","1202050234","ا / وائل  الشوادفى",""
"959","كلية الاداب","V4499300013","MP 171","اسامة","زيارة","","","","جامعة دمنهور","","",""
"1656","تيكان للانشاءات","V4499305268","MP171","مجدى","صيانة","","","8/12/2026 12:00:00 AM","دلتا لايف -- سموحة","1141144488","على محمد",""
"484","نادى النصر","V4499404466","mp 171","شعبان","زيارة","","","","سموحة / بجوار مسجد قباء","1033503001","",""
"1265","نقابة السياحة والفنادق","V4499510646","MP171","شعبان","زيارة","","","","سموحة","1224448811","ا / مجدى",""
"1816","ا / محمد فتحى (  المحامى )","V5U6714217","KY6035C","كريم","زيارة","","","","كوبرى الناموس","1277688717","",""
"","بيت الجملة فرع 10","V5U7420541 ش","KY6035Cdn","","ارشيف","9185","32448","","برنترالجمل","","",""
"","بيت الجملة فرع ارض المعارض عين شمس","V5U7621306","KY6035Cdn","وائل","ايجار","28182","202898","","برنترالجمل","","",""
"2039","الاميرة للملابس الجاهزة","V675Y04091","KY6530Cd","عادل","ضمان","1906","4395","9/9/2026 12:00:00 AM","عبد القادر بجوار توكيل تيوتا","01200494990","01201891179",""
"2032","مدرسة جمعية سيدى جابر","V6902600313","MP6100","شعبان","زيارة","","","","","","",""
"474","مكتبة الشقيقان","V6912500348","MP6001","رحيم","زيارة","","","","ش/ نزلة ابو سعد","1009661524","تم نقل الالة الى برج العرب",""
"648","مكتبة المدينة المنورة","V6993000318","MP6001","","زيارة","","","6/24/2024 12:00:00 AM","ش / 20 شارع مجمع المدارس","1150091688","ا/ مصطفى",""
"2031","بيت الجملة فرع الحديد والصلب","V6A6603754","KYM6035CI","السيد","ايجار","31125","12254","","الدخيلة","","",""
"","بيت الجملة (شبين الكوم) التسويق","V756205746","KY306CI","وائل","ايجار","","","","المنوفية -- شبين الكوم","1211667301","م / وائل المنوفية",""
"743","مطبعة اسكندرية","V7600800692","MPC 7501","رحيم","زيارة","","","","ش / الملك حفنى -- بجوار قرية بلبع","1001465797","ح / نبيل",""
"520","مكتبة القزاز","V7610900773","MPC6501","رحيم","زيارة","","","","باكوس","1289915820","",""
"294","مدرسة الصفوة","V7611100415","mpc6501","ايمن","صيانة","","","10/1/2023 12:00:00 AM","العجمى ك 21","","",""
"314","مدرسة الميريدين","v7701000217","mbc7501","ايمن","صيانة","","","10/1/2023 12:00:00 AM","العجمى الهانوفيل","","",""
"316","مدرسة النخبة","V7711100126","mpc7501","ايمن","صيانة","","","10/1/2023 12:00:00 AM","العجمى الهانوفيل","","",""
"230","شركة مياه الشرب المطبعة","V7720830016","MPC6501","رضا","زيارة","","","11/22/2023 12:00:00 AM","وابور المياه","","",""
"431","شركة مياه الشرب المطبعة","V7720930018","MPC7501","رضا","زيارة","","","11/22/2023 12:00:00 AM","وابور المياه","","",""
"1262","مكتبة عجمستا","V7902800502","MP4001","شعبان","زيارة","293841","","2/9/2025 12:00:00 AM","باكوس -- بجوار القزاز","1287408996","",""
"1323","شركة المهند للمقاولات","V7902800637","MP4001","شعبان","زيارة","","","","سموحة -- 8 ش/ توت عنخ امون","1224042432","ا / عبد القادر",""
"275","صن جروب (الاقصي للبلاستيك)","V7902900227","MP4001","شعبان","زيارة","116017","","2/18/2023 12:00:00 AM","الرابعة الناصرية","1095122191","الضمان(30000) نسخة  ا/ محمد حافظ",""
"641","البيسى","V7902900279","MP4000","رحيم","زيارة","","","","الحضرة","","تبع م / رضا القدس",""
"279","محمد كريم  المطبعة اللغات","V7902901140","mp5000","ايمن","زيارة","","","","سموحه","","",""
"276","مصنع نجم للملابس","V7903400490","Mp4000","شعبان","صيانة","","","3/28/2027 12:00:00 AM","الحضرة الجديدة","1221260660","01200089947",""
"938","مصنع البلاستيك","V7903400508","MP4001","شعبان","زيارة","","","","الساعة -- فيكتوريا","1206864251","ا / كريم",""
"1084","شركة جرين فالى (البنجر)","V7905800315","MP4001","عادل","ايجار","1988772","","","البنجر","1555952228","ا / رامى",""
"636","مصطفى دربالة ( المهندس)","V7905800315 ش","MP5001","","ارشيف","","","9/19/2026 12:00:00 AM","سيدى بشر / دربالة","1229292048","",""
"1840","شركة ثرى استار","V7912600033","MP4001","عادل","زيارة","852702","","","المنطقة الحرة","1287900977","ا/ عمرو",""
"264","عم خليل الميناء","V7912600553","MP4001","ايمن","صيانة","","","","الميناء","1221112287","",""
"1103","ا/ مجمد محمود","V791266636","MP4001","شعبان","زيارة","","","","","","",""
"","شركة الخليج","V7913000679","MP4000","كريم","زيارة","","","","سموحة","01127461399","",""
"265","مكتبة نور","V7913100397","MP4001","طارق","زيارة","","","1/18/2023 12:00:00 AM","شارع النصر /جرين بلازا","1097461275","03/4043781",""
"301","مدرسة الضوي 1","V7913200528","mp4001","ايمن","صيانة","","","10/1/2023 12:00:00 AM","العجمى الهانوفيل","","",""
"444","مكتبة الرضا الحديثة","V7913200772","MP4001","شعبان","زيارة","97604","","6/12/2023 12:00:00 AM","بجوار الشركة","1208666062","باقي حساب الالة 7500 جنية",""
"206","سنتر برلانت","V7913300584","mp 4001","طارق","زيارة","","","5/5/2024 12:00:00 AM"," بجوار معهد محمد حسن","1287740390","",""
"1947","مكتبة لوران","V7913300804 ش","MP4000","","ارشيف","","","","دمنهور ش / المحافظة","01095322258","ام احمد",""
"363","مكتبة المحروسة","V79133011","MP4001","شعبان","زيارة","","","","بجوار الشرطة العسكرية","1558590133","V7903101063 الكونتروال القديم",""
"490","مكتبة الادهم","V7913600408","MP4001","شعبان","زيارة","267113","","2/27/2024 12:00:00 AM","سيدى بشر بحرى ش/ على هيبة","1222811461","01094357185",""
"287","مدرسة الامل","V7915201976","mp5001","شعبان","صيانة","","","12/20/2026 12:00:00 AM","الفلكى / عزبة زقزوق","1066736343","01226347592",""
"254","شعبان الشهر العقاري","V7922500229","mp4001","طارق","زيارة","","","","الفلكى","1155344575","",""
"","بيت الجملة المعادى 2","V796200597 ش","KY406C","","ارشيف","57291","114127","","المعادى 2","","",""
"","بيت الجملة فرع اكتوبر سيلفر مول الجديد","V796Z01365","KY406C","وائل","ايجار","350794","71611","","فرع اكتوبر","","",""
"1842","ابناء الشناوي","V797Y04435","KY406CI","كريم","زيارة","142633","40178","","تبع رضا القدس الكيلو 21","","",""
"","بيت الجملة فرع MAF","V797Y04448","KY406CI","وائل","ايجار","350966","141809","","ماف -- مالتى","","",""
"2224","يوسف محمد عبد العزيز","V798405463","KY406CI","عادل","ضمان","34681","229340","11/3/2026 12:00:00 AM","البحيرة -- كفر الدوار","01062736103","",""
"2191","مركز شباب السيوف","V7C7307975","KY356CI","شعبان","ضمان","80403","70141","1/13/2027 12:00:00 AM","السيوف الاسكان الصناعى --الضمان(5000)نسخة","01284434829","احمد",""
"2155","ا / احمد ثابت (المأزون الشرعى)","V7C7408378","KY356CI","عادل","ضمان","108124","77390","9/21/2026 12:00:00 AM","بجوار الشركة","","",""
"1720","نيو جرين فارم","V7C8516613","KY356CI","عادل","زيارة","42671","6199","3/15/2026 12:00:00 AM","الدخيلة --الضمان(5000)نسخة","","ح / احمد",""
"","بيت الجملة فرع ( اللوتس )","V7C8Y19343","KY356C","وائل","ايجار","17331","16975","","مدينة نصر","","",""
